review_id,type,typeName,content,grade,createDate,likeCount,goodsNo,goodsName,brandName,brandEnglishName,brand,brandBestYn,goodsCreateDate,goodsOption,option_color,option_size,userNickName,reviewSex,userHeight,userWeight,userLevel,commentCount,commentReplyCount,isFirstReview,orderOptionNo,channelSource,review_image_urls,product_image_url,사이즈,화면 대비 색감,퀄리티,신축성
83293995,style,스타일,"일자 핏이라 깔끔하면서 다리 라인이 길어 보임
너무 타이트하지 않아 편하고 활동하기 좋음
부드럽고 가벼운 소재라 착용감이 좋고 오래 입어도 부담 없음
구김이 많지 않아 관리가 편한 편
기장이 발등 살짝 덮는 정도로 자연스럽고 데일리로 입기 좋음",5,2026-03-29T12:06:14.000+09:00,1,2820939,우먼즈 더블 니트 투 턱 와이드 라운지 스웨트 팬츠 [블랙],무신사 스탠다드 우먼,MUSINSA STANDARD WOMAN,musinsastandardwoman,Y,2022-09-27T10:32:09.000+09:00,S,,,서니13,여성,163,52,3,0,0,1,408292834,musinsa,https:/data/estimate/2820939_0/4ff87156334946da9c66f210a28d467b.jpg,https:/images/goods_img/20220927/2820939/2820939_17625014945098_100.jpg,정사이즈,화면과 비슷,보통,적당함
83178106,style,스타일,"편하게 입을 와이드 팬츠 찾다가 구매했는데 핏이 진짜 예쁘게 떨어져서 만족해요.

너무 부해 보이지 않고 자연스럽게 툭 떨어지는 핏이라 다리 라인이 길어 보이는 느낌이고, 걸을 때 실루엣도 깔끔하게 나옵니다.

허리도 편안해서 장시간 착용해도 부담 없고, 데일리로 막 입기 좋은 바지예요.
사진처럼 가벼운 상의랑 매치해도 잘 어울리고, 꾸안꾸 느낌 내기 딱 좋습니다.

운동화랑 매치하면 캐주얼하게, 슬리퍼나 다른 신발이랑도 무난하게 잘 어울려서 활용도 높은 아이템이에요.",5,2026-03-24T07:21:40.000+09:00,1,2820939,우먼즈 더블 니트 투 턱 와이드 라운지 스웨트 팬츠 [블랙],무신사 스탠다드 우먼,MUSINSA STANDARD WOMAN,musinsastandardwoman,Y,2022-09-27T10:32:09.000+09:00,M,,,나는왕감자,여성,162,60,5,0,0,1,410283127,musinsa,https:/data/estimate/2820939_0/d7074eeed55643b699f1771cfb37ede4.jpg,https:/images/goods_img/20220927/2820939/2820939_17625014945098_100.jpg,조금 큼,화면과 비슷,좋음,적당함
83839463,style,스타일,"투턱이 너무 예쁘게 빠져서 색깔별로 4개째 샀습니다 ㅋㅋ
생각보다 투턱으로 나오는 스웨트팬츠가 잘 없더라구요 ㅋㅋ
크게 입으려고 M사이즈로 샀더니 너무 길어서 4-5cm정도 수선했어요!!",5,2026-04-21T01:04:58.000+09:00,0,2820939,우먼즈 더블 니트 투 턱 와이드 라운지 스웨트 팬츠 [블랙],무신사 스탠다드 우먼,MUSINSA STANDARD WOMAN,musinsastandardwoman,Y,2022-09-27T10:32:09.000+09:00,M,,,진지한블루실루엣,여성,164,53,2,0,0,1,414562221,musinsa,https:/data/estimate/2820939_0/2c82bb92e4b44642a50e593ddaa65eea.jpg,https:/images/goods_img/20220927/2820939/2820939_17625014945098_100.jpg,정사이즈,화면과 비슷,좋음,적당함
83815794,style,스타일,편하고 좋아요! 허리 밴딩이 편하고 턱이 잡혀있어서 코디하기 좋아요!,5,2026-04-20T01:33:53.000+09:00,0,2820939,우먼즈 더블 니트 투 턱 와이드 라운지 스웨트 팬츠 [블랙],무신사 스탠다드 우먼,MUSINSA STANDARD WOMAN,musinsastandardwoman,Y,2022-09-27T10:32:09.000+09:00,M,,,미도리야1,여성,165,49,6,0,0,1,414900827,musinsa,https:/data/estimate/2820939_0/8338f5b69ef343a5866580989db96909.jpg,https:/images/goods_img/20220927/2820939/2820939_17625014945098_100.jpg,정사이즈,화면과 비슷,보통,적당함
83815779,general,일반,편하고 좋아요! 허리 밴딩이 편하고 턱이 잡혀있어서 코디하기 좋아요!,5,2026-04-20T01:32:41.000+09:00,0,2820939,우먼즈 더블 니트 투 턱 와이드 라운지 스웨트 팬츠 [블랙],무신사 스탠다드 우먼,MUSINSA STANDARD WOMAN,musinsastandardwoman,Y,2022-09-27T10:32:09.000+09:00,M,,,미도리야1,남성,165,49,6,0,0,1,414900827,musinsa,https:/data/estimate/2820939_0/1e04cbd5830c49038d7f7707176d5f3c.jpg,https:/images/goods_img/20220927/2820939/2820939_17625014945098_100.jpg,정사이즈,화면과 비슷,보통,적당함
83810172,general,일반,길이는 161기준 좀 길었고 하체 보완하기로 나쁘지 않습니다,5,2026-04-19T21:57:06.000+09:00,0,2820939,우먼즈 더블 니트 투 턱 와이드 라운지 스웨트 팬츠 [블랙],무신사 스탠다드 우먼,MUSINSA STANDARD WOMAN,musinsastandardwoman,Y,2022-09-27T10:32:09.000+09:00,S,,,유능한벨기에쇼룸,여성,161,56,5,0,0,1,414450266,musinsa,https:/data/estimate/2820939_0/94c35af786c94b84a6b21eecdb2b7acd.jpg,https:/images/goods_img/20220927/2820939/2820939_17625014945098_100.jpg,조금 큼,화면과 비슷,좋음,강함
83810136,style,스타일,통이 널널하고 핏은 나쁘지 않은거 같아요 근데 여름에 입기에는 두껍습니다,5,2026-04-19T21:56:08.000+09:00,0,2820939,우먼즈 더블 니트 투 턱 와이드 라운지 스웨트 팬츠 [블랙],무신사 스탠다드 우먼,MUSINSA STANDARD WOMAN,musinsastandardwoman,Y,2022-09-27T10:32:09.000+09:00,S,,,유능한벨기에쇼룸,여성,161,56,5,0,0,1,414450266,musinsa,https:/data/estimate/2820939_0/cff486b2e0a440638648442f2e367a69.jpg,https:/images/goods_img/20220927/2820939/2820939_17625014945098_100.jpg,조금 큼,화면과 비슷,좋음,강함
83784385,style,스타일,저한테 길긴한데 핏도 예쁘고 편해요!! 여행가서 휘뚤마뚤 잘 입고 다녔습니당,5,2026-04-18T21:20:54.000+09:00,0,2820939,우먼즈 더블 니트 투 턱 와이드 라운지 스웨트 팬츠 [블랙],무신사 스탠다드 우먼,MUSINSA STANDARD WOMAN,musinsastandardwoman,Y,2022-09-27T10:32:09.000+09:00,S,,,나시고랭,여성,160,50,5,0,0,1,408758077,musinsa,https:/data/estimate/2820939_0/9851ec5eda194a349b9458f89af56a62.jpg,https:/images/goods_img/20220927/2820939/2820939_17625014945098_100.jpg,조금 큼,화면과 비슷,좋음,적당함
83763886,style,스타일,오프라인에서 입어보고 저렴하게 바로 구매했어요. xs이 핏이 예쁜데 허리가 좀 찡겨요ㅎㅎ그래도 편하고 예뻐요!,5,2026-04-17T23:33:23.000+09:00,0,2820939,우먼즈 더블 니트 투 턱 와이드 라운지 스웨트 팬츠 [블랙],무신사 스탠다드 우먼,MUSINSA STANDARD WOMAN,musinsastandardwoman,Y,2022-09-27T10:32:09.000+09:00,XS,,,a라니라니,여성,158,50,3,0,0,1,414372598,musinsa,https:/data/estimate/2820939_0/f83d5fae776347ccbeef0668fc7f986f.jpg,https:/images/goods_img/20220927/2820939/2820939_17625014945098_100.jpg,조금 큼,화면과 비슷,보통,적당함
83725653,general,일반,"m하려다가 s사이즈 했는데 통도 넉넉하고 재질도 탄탄해서 좋아용
입을 때 허리부분이 잘 안늘어나서 들어가려나 싶었는데 잘 들어가는데 기장이 좀 길어서 수선해서 입어야 할 것 같아요ㅎㅎㅜ",5,2026-04-16T14:25:45.000+09:00,0,2820939,우먼즈 더블 니트 투 턱 와이드 라운지 스웨트 팬츠 [블랙],무신사 스탠다드 우먼,MUSINSA STANDARD WOMAN,musinsastandardwoman,Y,2022-09-27T10:32:09.000+09:00,S,,,용용0ㅣ,여성,159,50,4,0,0,1,415522970,musinsa,https:/data/estimate/2820939_0/bb3ce45957474767bf0e6737700ab844.jpg,https:/images/goods_img/20220927/2820939/2820939_17625014945098_100.jpg,정사이즈,매우 어두움,좋음,적당함
