review_id,product_id,product_name,rating,contents,created_at,like_count,구매컬러,구매사이즈,사이즈,퀄리티,색감,키,몸무게,평소사이즈
62381309,110787427,[라룸] [뉴컬러｜by LAROOM] 알트조거팬츠,5,"기모알트 입고 만족해서 일반과 썸머 한개씩 샀습니다.
일반은 이제는 좀 더울 수 있는 두께이긴해요
썸머 품절인 색이 많아 한개는 이걸로 샀는데
핏 등 좋긴한데 이제 더워져서.. 그래도 가을에 잘 입을 수 있을 것 같아요",2026-04-15 05:52:09,0,블랙,,잘 맞아요,만족해요,비슷해요,170cm,60kg,하의 29
62329681,110787427,[라룸] [뉴컬러｜by LAROOM] 알트조거팬츠,5,"재작년인가 작년에 백멜란지를 구매했다가 너무 잘 입고 다녀서 이번에 블랙도 구매하게 됐어요!

탄탄한 원단이라 4계절내내 입기 좋아 너무 잘 입고 있어요ㅎㅎㅎㅎ 개인적으로 롱기장을 선호하는데 발목까지 덮어주는 기장이라 너무 좋더라구요🥰
그냥 입어도 예쁘고 발목 스트링으로 핏을 잡아도 예뻐요! 

다만 블랙은 처음 받을때 묻어나오는게 많더라구요,,
돌돌이를 몇 번이나 했는지 몰라요ㅠㅠ
그래도 어디에나 잘 입을 수 있을거 같아 만족합니다!!",2026-04-13 07:35:36,0,블랙,,잘 맞아요,만족해요,비슷해요,167cm,,
61498777,110787427,[라룸] [뉴컬러｜by LAROOM] 알트조거팬츠,5,"제 최애바지라 벌써 4번째 구매에요
탄탄하고 엄청 넉넉해서 여기저기 정말 잘 입고 있어요
깔별로 다 소장하고싶을정도 ㅎㅎ",2026-03-16 02:38:53,0,그레이,,잘 맞아요,만족해요,비슷해요,166cm,62kg,하의 29
61498723,110787427,[라룸] [뉴컬러｜by LAROOM] 알트조거팬츠,5,"몇년전에 구매해서 너무 잘 입었는데 남편이 맘에 든다고 자꾸 뺏어입어서 하나 더 샀어요!
사이즈가 넉넉해서 남녀가 같이 입기에도 좋아요",2026-03-16 02:35:20,0,블랙,,잘 맞아요,만족해요,비슷해요,166cm,62kg,하의 29
61465774,110787427,[라룸] [뉴컬러｜by LAROOM] 알트조거팬츠,5,키 169-170 기준 기장 잘 맞고 안끌려요. 소재도 탄탄하고 무릎 많이 안나와서 핏이 좋아요. 이전에 다른 컬러 사서 잘 입고 다녀서 또 산거라 만족합니다. 봄가을에 딱 좋아요.,2026-03-14 12:01:10,0,네이비,,잘 맞아요,만족해요,비슷해요,170cm,55kg,하의 27
61264039,110787427,[라룸] [뉴컬러｜by LAROOM] 알트조거팬츠,5,아주 마음에 듭니다요!!!! 회색사고 핏이 이뻐서레드로 또 구매!!했어요 레드 구매하세요!! 추천드립니다 !!,2026-03-06 06:08:33,0,레드,,잘 맞아요,만족해요,어두워요,155cm,52kg,하의 27
60977328,110787427,[라룸] [by LAROOM] 알트조거팬츠,5,"여유있고 아주 편하고 가벼워요~~
겨울꺼도 잘 입었었는데
기모없는것두 잘 입을거같애요


",2026-02-21 13:52:45,1,베이지,,잘 맞아요,만족해요,비슷해요,167cm,57kg,하의 28
60953030,110787427,[라룸] [by LAROOM] 알트조거팬츠,4,밑단 스트링 문제 걱정했는데 아직까진 문제 없네요 근데 기장 진짜 길어서 허리 한번 접어입습니다 그리고 네번 입었는데 무릎나옵니다 ,2026-02-20 23:28:38,0,네이비,,커요,만족해요,비슷해요,166cm,49kg,
60283928,110787427,[by LAROOM] 알트조거팬츠,5,"일단 바지가 길어서 좋아요! 그리고 밑에 안에 스트링도 있어서 길면 조을 수 있어서 만족합니다.
일단 핏이 넘 예뻐서, 담번엔 다른 색으로 쟁겨놓을려고 생각 중입니다!",2026-01-21 11:15:50,0,그레이,,커요,만족해요,비슷해요,168cm,55kg,하의 27
59726819,110787427,[by LAROOM] 알트조거팬츠,1,"이번까지 라룸에서 알트조거팬츠를 3년동안 8장이나 샀는데요. 한 번 입고 세탁기 돌리니까 밑에 스트링이 빠져버렸어요. 이전에도 스트링이 빠졌지만 너무 편하고 잘 입고다녀서 재재재재구매했었는데 진짜 실망입니다. ㅠ 다시는 안사고싶네요. 한 번 세탁했다고 이난리가 나는 바지를 누가사나요,, ㅎ ",2025-12-30 11:47:12,0,차콜,,커요,별로예요,비슷해요,163cm,53kg,하의 27
59489598,110787427,[by LAROOM] 알트조거팬츠,5,166인 제 키에도 긴 편이구요 스트링 있어서 조이면 됩니다. 다리 길어보여서 좋구요 생각보다 얇아서 겨울엔 안에 히트택 입어도 좀 추울 거 같아요,2025-12-21 10:46:00,0,네이비,,잘 맞아요,만족해요,비슷해요,166cm,58kg,하의 29
59239809,110787427,[by LAROOM] 알트조거팬츠,5,지인이 입은거 보고 너무 예뻐서 손민수해서 구매했어요. 배송이 지연되면서 블프에 구매해서 많이 늦게 받긴 했지만 핏도 소재도 좋아서 잘 입을 것 같아요!,2025-12-13 06:59:51,0,브라운,,잘 맞아요,만족해요,비슷해요,164cm,58kg,하의 28
59089698,110787427,[by LAROOM] 알트조거팬츠,5,생각보더 얇아요 상세페이지와 색상은 동일함. 여기저기 잘어울려요  위에 밴딩이 좀 얇으면 덜 부해보일것같아서 아쉽네요,2025-12-09 06:58:10,0,베이지,,잘 맞아요,만족해요,비슷해요,162cm,53kg,하의 28
