review_id,product_id,product_name,rating,contents,created_at,like_count,구매컬러,구매사이즈,사이즈,퀄리티,색감,키,몸무게,평소사이즈
62516952,165951557,[MADE]케미 조거 트레이닝 팬츠,5,정말 최고예요,2026-04-20 08:54:57,0,블랙,,,,,162cm,63kg,하의 28
62506921,165952537,[MADE]케미 조거 트레이닝 팬츠,5,정말 최고예요,2026-04-19 23:16:41,0,블랙,,,,,158cm,45kg,하의 27
62497643,165952537,[MADE]케미 조거 트레이닝 팬츠,5,바이델리 바지는 믿고 구매합니다!! 기모버전 구매해서 너무 잘 입고 날씨 풀리고 기모 없는거 추가 구매했어요~~ 깔별소장 하고싶을만큼 좋습니당!,2026-04-19 11:19:01,0,블랙,,잘 맞아요,만족해요,비슷해요,158cm,53kg,하의 27
62479026,165952537,[MADE]케미 조거 트레이닝 팬츠,5,딱 원하던 힙한 핏이 나옵니다! 소재도 톡톡해서 오래입을 수 있을 것 같고 로고가 생각보다 넘 예쁜 포인트가 됩니다!,2026-04-18 14:39:07,0,그레이,,잘 맞아요,만족해요,비슷해요,164cm,49kg,하의 27
62470209,165952537,[MADE]케미 조거 트레이닝 팬츠,5,편한 바지가 급하게 필요해서 직진배송 중 찾다가 디자인이 예뻐서 구매했는데 너무너무 만족해요!! 엉덩이 패치 포인트 진짜 예쁘고 핏도 최고예요 키 168인데 롱버전 기장 딱 좋습니다 색은 살짝 카키빛 도는 밝은 갈색인데 매력있어요 다른색도 사고 싶어요!! 완전 강추입니다,2026-04-18 07:58:12,0,브라운,,잘 맞아요,만족해요,비슷해요,,,
62468617,165951557,[MADE]케미 조거 트레이닝 팬츠,5,정말 최고예요,2026-04-18 07:07:30,0,블랙,,,,,161cm,56kg,하의 28
62467272,165952537,[MADE]케미 조거 트레이닝 팬츠,5,"베이델리 옷은 핏이 좋아서 겨울에 깔별로 너무 잘 입었어서 봄이라 또 하나씩 구매 중입니다.
키가 167~8인데 숏도 길이가 좋아서 입기 딱~좋네요. 허리가 33인치인데도 불편함없어서 좋아요",2026-04-18 06:18:30,0,연그레이,,잘 맞아요,만족해요,밝아요,168cm,90kg,하의 33
62460951,165951557,[MADE]케미 조거 트레이닝 팬츠,5,정말 최고예요,2026-04-18 02:16:14,0,그레이,,,,,160cm,53kg,하의 27
62425443,165952537,[MADE]케미 조거 트레이닝 팬츠,5,정말 최고예요,2026-04-16 12:33:21,0,그레이,,,,,,,
62419454,165952537,[MADE]케미 조거 트레이닝 팬츠,5,회색 너무 잘입고다녀서 검정색으로 또 샀어용 와인색도 있었으면 좋겠어여,2026-04-16 09:01:56,0,블랙,,잘 맞아요,만족해요,비슷해요,167cm,51kg,하의 27
