review_id,product_id,product_name,rating,contents,created_at,like_count,구매컬러,구매사이즈,사이즈,퀄리티,색감,키,몸무게,평소사이즈
62397220,165206841,[4천장판매] (UNISEX) 또앙 절개 벌룬 와이드 투웨이 밴딩팬츠,5,정말 최고예요,2026-04-15 13:46:15,0,그레이,,,,,168cm,57kg,하의 27
62396175,165206841,[4천장판매] (UNISEX) 또앙 절개 벌룬 와이드 투웨이 밴딩팬츠,3,너무 커서 살짝 당황햇지만 유니크해서 잘 입고잇어요,2026-04-15 13:15:57,0,그레이,,커요,보통이에요,비슷해요,160cm,57kg,하의 29
62349389,165206841,[4천장판매] (UNISEX) 또앙 절개 벌룬 와이드 투웨이 밴딩팬츠,5,"엄청커요! 그래서 한번 접고 입어요
엄청 두꺼울까봐 걱정했는데 엄청 듀껍지않고 모양 잡아줄정도라 여름전까지는 자주입고다닐거같아요",2026-04-14 05:40:58,0,그레이,,커요,만족해요,비슷해요,158cm,52kg,하의 26
62238626,165206841,[4천장판매] (UNISEX) 또앙 절개 벌룬 와이드 투웨이 밴딩팬츠,5,일단 아주아주 크고 벙벙해서 맘에 듦 포켓 디테일 때문에 너무 후줄근해보이지도 않고 길이도 짱 길어서 키 큰 분들도 예쁘게 잘 맞을 거 같아용,2026-04-09 15:33:04,0,블랙,,잘 맞아요,만족해요,비슷해요,166cm,56kg,하의 29
62027510,165206841,[4천장판매] (UNISEX) 또앙 절개 벌룬 와이드 투웨이 밴딩팬츠,3,"안쪽에 약간의 얼룩이있고, 바느질이 조금 덜 깔끔합니다. 교환 고민하다 어차피 안쪽이라 그냥 입으렵니다. 안쪽면은 땀흡수 잘 안 될 것 같은 미끌한 재질이라 실망했네요. 
외형은 정말 예쁘고 트렌디한데....^^....; ",2026-04-02 23:02:01,0,그레이,,잘 맞아요,보통이에요,비슷해요,,,
61994817,165206841,[4천장판매] (UNISEX) 또앙 절개 벌룬 와이드 투웨이 밴딩팬츠,5,큰데 잘 맞고 핏도 예쁘고 주머니가 독특해서 좋아요,2026-04-01 17:17:56,0,멜란지그레이,,잘 맞아요,보통이에요,비슷해요,163cm,55kg,하의 28
61762861,165206841,[4천장판매] (UNISEX) 또앙 절개 벌룬 와이드 투웨이 밴딩팬츠,5,정말 최고예요,2026-03-25 14:44:28,0,그레이,,,,,,,
61726929,165206841,[4천장판매] (UNISEX) 또앙 절개 벌룬 와이드 투웨이 밴딩팬츠,5,정말 최고예요,2026-03-24 15:27:13,0,그레이,,,,,156cm,54kg,하의 28
61665699,165206841,[4천장판매] (UNISEX) 또앙 절개 벌룬 와이드 투웨이 밴딩팬츠,5,트레이닝 바지 치고는 가격대가 있는 편인데 가격값을 합니다! 질이 도톰하고 부드럽고 탄탄해요! 다른 색상도 구매하고 싶네요,2026-03-22 14:19:26,0,그레이,,커요,만족해요,비슷해요,162cm,50kg,하의 27
61573522,165206841,[4천장판매] (UNISEX) 또앙 절개 벌룬 와이드 투웨이 밴딩팬츠,5,정말 최고예요,2026-03-19 02:01:19,0,그레이,,,,,160cm,58kg,하의 27
60760282,165206841,[4천장판매] (UNISEX) 또앙 절개 벌룬 와이드 투웨이 밴딩팬츠,5,정말 최고예요,2026-02-11 04:34:00,0,블랙,,,,,,,
60760281,165206841,[4천장판매] (UNISEX) 또앙 절개 벌룬 와이드 투웨이 밴딩팬츠,4,정말 최고예요,2026-02-11 04:33:56,0,그레이,,,,,,,
60224481,165206841,[4천장판매] (UNISEX) 또앙 절개 벌룬 와이드 투웨이 밴딩팬츠,5,정말 최고예요,2026-01-19 05:22:30,0,그레이,,,,,,,
57853684,165206841,(UNISEX) 또앙 절개 벌룬 와이드 투웨이 밴딩팬츠,3,퀄 좋아요 두툼해서 겨울에도 가능할듯 원래 츄리닡 벙벙하게 입는거좋아하는데 이건진짜 지금까지 입어본 바지중에서 레전드 벙벙해요 ㅋㅋㅋㅋ,2025-11-04 17:46:49,0,그레이,,커요,만족해요,비슷해요,162cm,56kg,하의 27
57380633,165206841,(UNISEX) 또앙 절개 벌룬 와이드 투웨이 밴딩팬츠,4,정말 최고예요,2025-10-20 14:56:13,0,그레이,,,,,161cm,60kg,
56622036,165206841,(UNISEX) 또앙 절개 벌룬 와이드 투웨이 밴딩팬츠,5,받자마자 입어봣는데 핏이 엄청 와이드해서 좋앗고 길이도 길고 두껍기도 해서 좋앗어여  다른칼라도 구매할까 생각중이에여,2025-09-27 02:55:24,0,멜란지그레이,,잘 맞아요,보통이에요,비슷해요,,,
56428393,165206841,(UNISEX) 또앙 절개 벌룬 와이드 투웨이 밴딩팬츠,5,통이 진짜 엄청 큰데 엄청 커서 좋아요 편하게 입어도 이쁘고 대충입어도 이쁘고 잘 입겠습니다!,2025-09-21 02:51:53,0,그레이,,잘 맞아요,만족해요,비슷해요,,,
56150722,165206841,(UNISEX) 또앙 절개 벌룬 와이드 투웨이 밴딩팬츠,5,제 최애 바지가 되었는데 어째서 판매 즁단하신거에오ㅠㅠㅠ̑̈ ㅠ̑̈ 븧랙으로 하나 더 사고 싶었는데 너무 아쉬운 마음... 길이나 통이나 딱 제가 원하는 핏감이었는데 눈뭏아 흑흑,2025-09-11 06:59:15,0,그레이,,커요,만족해요,비슷해요,171cm,75kg,하의 31
