review_id,product_id,product_name,rating,contents,created_at,like_count,구매컬러,구매사이즈,사이즈,퀄리티,색감,키,몸무게,평소사이즈
62448691,168645533, [💚봄신상/MADE] 히로세 절개 리벳 벌룬 밴딩팬츠,5,정말 최고예요,2026-04-17 09:42:19,0,멜란지그레이,,,,,164cm,52kg,
61897176,168645533, [💚봄신상/MADE] 히로세 절개 리벳 벌룬 밴딩팬츠,5,정말 최고예요,2026-03-29 14:22:47,0,멜란지그레이,,,,,158cm,50kg,하의 25
61873624,168645533, [💚봄신상/MADE] 히로세 절개 리벳 벌룬 밴딩팬츠,5,정말 최고예요,2026-03-29 01:55:21,0,멜란지그레이,,,,,,,
61580560,168645533, [💚봄신상/MADE] 히로세 절개 리벳 벌룬 밴딩팬츠,4,정말 최고예요,2026-03-19 06:36:42,0,퍼플,,,,,165cm,60kg,하의 29
61471019,168645533, [💚봄신상/MADE] 히로세 절개 리벳 벌룬 밴딩팬츠,5,"사이즈 적당하고 너무 편해요!
이제 대학 개강했는데 벌써부터 교복템이 생겨서 꾸밈의지력이0이됐어요,, 말 그대로 너무너무 편하고 예뻐요 ",2026-03-14 16:16:55,0,멜란지그레이,,잘 맞아요,만족해요,비슷해요,161cm,46kg,
61445308,168645533, [💚봄신상/MADE] 히로세 절개 리벳 벌룬 밴딩팬츠,5,정말 최고예요,2026-03-13 13:23:40,0,멜란지그레이,,,,,160cm,78kg,하의 40 이상
61356331,168645533, [💚봄신상/MADE] 히로세 절개 리벳 벌룬 밴딩팬츠,5,정말 최고예요,2026-03-10 09:03:59,0,퍼플,,,,,169cm,65kg,하의 29
61356327,168645533, [💚봄신상/MADE] 히로세 절개 리벳 벌룬 밴딩팬츠,5,정말 최고예요,2026-03-10 09:03:57,0,블랙,,,,,169cm,65kg,하의 29
61302126,168645533, [💚봄신상/MADE] 히로세 절개 리벳 벌룬 밴딩팬츠,5,보라색 색 고민했는데 색도 디자인도 너무 예뿜니다 봄에 포인트 주기 딱이고 제 키에 길이 살짝 길긴한데 그 나름 힙하고 예뽀용!👍🏻 ,2026-03-07 23:34:41,0,퍼플,,잘 맞아요,만족해요,비슷해요,158cm,49kg,하의 26
61225230,168645533, [💚봄신상/MADE] 히로세 절개 리벳 벌룬 밴딩팬츠,5,크기는 진짜 큰데 묘하게 힙해보이는 크기라 대만족입니다 대신 스트링이 조여도 조이지가 않아서 애매해요..조거핏으로는 못입을거같은데 그래도 전체적으로 항아리핏이라 괜찮어요,2026-03-04 13:08:53,1,멜란지그레이,,커요,만족해요,비슷해요,161cm,50kg,하의 27
61182562,168645533, [💚봄신상/MADE] 히로세 절개 리벳 벌룬 밴딩팬츠,5,완전 대만족합니다 펑퍼짐하지 않아서 딱 좋아요,2026-03-02 05:46:40,0,블랙,,잘 맞아요,만족해요,비슷해요,160cm,65kg,
61026654,168645533, [💚봄신상/MADE] 히로세 절개 리벳 벌룬 밴딩팬츠,5,"키가 작아서 그런지 길이가 길어요 
밑에 스트링 조여도 길다고 느껴져요 그래도 이뻐서 잘입고 다닐것 같아요",2026-02-23 14:14:41,0,멜란지그레이,,커요,만족해요,비슷해요,158cm,42kg,하의 26
