review_id,product_id,product_name,rating,contents,created_at,like_count,구매컬러,구매사이즈,사이즈,퀄리티,색감,키,몸무게,평소사이즈
62513802,157693846,[📏다리길어보여/스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,"길이가쫌길어요.제키에비해서
질은너무좋아요
한여름빼고는,잘입어질것같애요",2026-04-20 06:07:52,0,블랙,,커요,만족해요,비슷해요,162cm,56kg,하의 28
62494874,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,3,"도톰하고요, 밴딩이 짱짱해요. 그런데 치골부분은 뜨고 밑단이 굉장히 넓어서 제 체형엔 핏이 예쁘지 않더라고요. 저는 실패했지만 잘 맞는 분들이 더 많은 것 같네요 :)",2026-04-19 09:13:14,0,블랙,,잘 맞아요,보통이에요,비슷해요,163cm,55kg,
62416561,157665841,[오늘드림🚚/무료배송] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,정말 최고예요,2026-04-16 07:24:06,0,블랙,,,,,152cm,51kg,하의 27
62409597,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,이거 진짜 예뻐요 쫀쫀하고 다리도 잘 답아주는 것 같아요 ㅎㅎ 편하게 일상에서 잘 입을 것 같고 출근룩으로는 무리일 것 같네여ㅠ,2026-04-16 04:05:56,0,블랙,,잘 맞아요,보통이에요,비슷해요,,,
62407290,157665841,[무료배송/기모버전추가] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,정말 최고예요,2026-04-16 02:21:53,0,블랙,,,,,163cm,46kg,하의 26
62400927,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,4,"바지 역대급 너무 편해서 주변에도 추천하는데
솔직히 너무 길어요
모든 바지 전부 롱으로 사도 길다고 못느끼는데
이 바지 롱버전은 진짜 너무 심하게 길어서 바닥 청소하고 다닐 수 있어요
그럼에도 바지 퀄리티는 진짜 좋아서 베이직으로 다시 사고싶은데 품절 언제 풀리죠?ㅠ",2026-04-15 16:17:00,0,블랙,,커요,보통이에요,비슷해요,166cm,53kg,하의 27
62379392,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,"임신 21주차 임산부입니다 생각보다 두께감이있어서 봄,가을 까지 입으면 조을거같아요 여름버전도 살려구요ㅎㅎ
퀄리티도 맘에들어요",2026-04-15 05:05:34,0,블랙,,잘 맞아요,만족해요,비슷해요,164cm,52kg,하의 27
62347742,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,질이 너무 좋고 휘뚜루마뚜루 잘 입을 수 있을 것 같아요! 깔별로 쟁이는 중입니다 ㅎㅎ 이번 여름에 잘 입을 것 같아요 기본템으로 강추입니다!!,2026-04-14 04:26:56,0,블랙,,잘 맞아요,만족해요,비슷해요,170cm,56kg,하의 26
62320939,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,정말 최고예요,2026-04-13 00:38:27,0,블랙,,,,,168cm,57kg,하의 28
62304637,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,"168에 다리 긴편인데도 롱 너무길어요 ㅠㅠㅋㅋㅋㅋ
수선해야할듯나머지 퀄 조아요",2026-04-12 07:49:52,0,블랙,,커요,만족해요,비슷해요,167cm,49kg,하의 26
62247649,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,정말 최고예요,2026-04-10 04:33:57,0,블랙,,,,,166cm,52kg,하의 27
62239802,157665841,[오늘드림🚚/무료배송] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,"너무 편하고 좋아요! 
딱 원하던 핏이에요 질이 너무 좋고 휘뚜루마뚜루 잘 입을 수 있을 것 같아요! 깔별로 쟁이는 중입니다 ㅎㅎ 이번 여름에 잘 입을 것 같아요 기본템으로 강추입니다!!",2026-04-09 17:32:42,0,딥그레이,,잘 맞아요,만족해요,비슷해요,170cm,56kg,하의 26
62232718,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,"이거슨 요즘 저의 교복 바지입니다 ㅋㅋ
상의를 어떻게입느냐에따라 등하원 룩이 되었다가.
나들이룩이되었다가 해요!
조거팬츠 입다가 부츠컷 입으니 다리길어보이고 적당히 단정해보여서 좋아요!
제가 마른편이 아닌데도 통이 널널해서 마르신분은 핏이 넘 널널 할 수도 있을것 같아요 ㅠ
저도 좀더 통이 좁았으면..하는 바램입니닷",2026-04-09 12:22:07,0,블랙,,잘 맞아요,만족해요,비슷해요,161cm,50kg,하의 27
62205022,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,정말 최고예요,2026-04-08 15:07:34,0,블랙,,,,,165cm,50kg,하의 28
62203411,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,4,정말 최고예요,2026-04-08 14:15:56,0,딥그레이,,,,,166cm,52kg,
62181381,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,완전 맘에들어요 이런거 진짜 좋아요 여름버전도 나오나요 ?? 여름버전 나오면 살래요 ㅋㅋ이쁘고 편하고 보풀도 안나게 생겻어요 ㅋ,2026-04-08 04:50:58,0,블랙,,잘 맞아요,보통이에요,비슷해요,170cm,61kg,
62179688,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,정말 최고예요,2026-04-08 03:50:57,0,블랙,,,,,159cm,49kg,하의 27
62177749,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,정말 최고예요,2026-04-08 02:22:23,0,블랙,,,,,158cm,,
62171017,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,정말 최고예요,2026-04-07 16:46:04,0,블랙,,,,,155cm,53kg,하의 28
62133262,157665841,[오픈할인/기모버전추가] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size (무료배송),5,160 기준 길이가 좀 길어서 굽높은어그랑 신으면 딱임 말라보임,2026-04-06 12:20:26,0,(기모)블랙,,잘 맞아요,보통이에요,비슷해요,160cm,45kg,
62117073,157665841,[🌅설특가세일/무료배송] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,정말 최고예요,2026-04-06 01:11:01,0,블랙,,,,,170cm,60kg,하의 28
62109080,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,"생각보다 쫀쫀한 재질 슬랙스라서 놀랐어요
밑위가 길어서
길이감이 표기보다 좀 더 긴 느낌이고 스판 좋아요.
보풀이 안 생기는 재질이길 바래봅니다!",2026-04-05 14:05:41,0,블랙,,커요,보통이에요,비슷해요,,,
62085359,157693846,[스판최고] #SLOWMADE. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,4,"핏 재질 좋아요 
넉넉하게 입고싶어서 라지로 시켰는데 162/46 기준 허리 크고 길이 많이 깁니다",2026-04-04 23:27:24,0,블랙,,커요,만족해요,비슷해요,,,
62075782,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,"검은색샀다가 너무 맘에 들어서 회색도 샀어요
입다보면 보풀이 일긴하지만 심한건아니고
여기저기 입기 너무좋아요!!",2026-04-04 11:51:09,0,딥그레이,,잘 맞아요,만족해요,비슷해요,160cm,53kg,하의 26
62074544,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,정말 최고예요,2026-04-04 11:08:54,0,블랙,,,,,162cm,58kg,하의 30
62073102,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,전에 짧은거로 시켰다가 잘입어서 긴걸로도 시켰어요,2026-04-04 10:22:13,0,블랙,,잘 맞아요,만족해요,비슷해요,164cm,61kg,하의 30
62068290,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,"와...엄청난 하비인데 다리 말리 보이고
기장도 너무 만족스러워요!!
고민은 배송만 늦출뿐 입니다!
",2026-04-04 07:31:10,0,블랙,,잘 맞아요,만족해요,비슷해요,171cm,69kg,하의 30
62059867,157665841,[무료배송] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,정말 최고예요,2026-04-04 03:12:44,0,블랙,,,,,157cm,50kg,하의 34
62056300,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,제가 입은거 보고 엄마가 괜찮은거 같다고 구매해달라고해서 구매했어요,2026-04-04 00:04:55,0,블랙,,잘 맞아요,만족해요,비슷해요,163cm,58kg,하의 27
62056298,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,이미 블랙으로 구매하고 마음에 들어서 하나 더 구매했어요,2026-04-04 00:04:53,0,딥그레이,,잘 맞아요,만족해요,비슷해요,163cm,58kg,하의 27
62014051,157665841,[무료배송] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,입었을때 핏도 괜찮고 가볍고 편합니다~ 데일리로 잘 입고 다닐 수 있을 것 같아서 마음에 듭니다¡ 빠른 배송 감사합니다!,2026-04-02 10:22:02,0,블랙,,잘 맞아요,보통이에요,비슷해요,161cm,,
62012870,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,3,"하.. 구매하신 선생님들 말을 믿었어야 했는데..
진짜 개ㅐㅐㅐ 길어요 청바지 107이면 잘 맞아서
이것도 길이가 똑같길래 리뷰 무시하고 롱으로 샀더니..
미안합니다 리뷰가 정답을 알려주는데도 무시했습니다
그리구 이거 프리인데도 사이즈가 마니 낭낭합니다
슬랙스처럼 입는게 아니라 그냥 츄리닝? 느낌나요
길이 진자 왜케 길어.. 170 이하면 베이직사세요 ㅜ
168에 다리 진짜 긴 편인데 약간 끌려요 바닥청소 가넝
허리 조임도 없고 편하긴 편해서 그냥 입을게용 흡",2026-04-02 09:38:38,0,블랙,,커요,보통이에요,비슷해요,168cm,52kg,하의 26
61994342,157693846,[스판최고] made. 치즈 세미부츠컷 트레이닝팬츠 (+숏/베이직/롱ver) - 2 size,5,정말 최고예요,2026-04-01 16:30:13,0,블랙,,,,,168cm,64kg,하의 29
