review_id,product_id,product_name,rating,contents,created_at,like_count,구매컬러,구매사이즈,사이즈,퀄리티,색감,키,몸무게,평소사이즈
62259607,168498324,[23만장판매ㅣ후기인증핏] [MADE] 매직스 오리지널 밴딩 팬츠 (5color),5,"핏되는 바지를 찾다가 발견했는데 너무 조아요
얇은 추리닝같은데 엄청 부드럽고 스판때문에 그냥 엄청 편해요 
기장은 숏이랑 노말 고민하다 리뷰에 제 키정도 되는 분들이 노말도 많이 입으셨길래 노말했습니다
기장 딱 좋아요 발등덮는 기장이고 밑단이 바닥에 살짝 닿아요
신발신으면 안 끌릴 것 같아요",2026-04-10 11:21:26,0,블랙,,잘 맞아요,만족해요,비슷해요,157cm,45kg,하의 25
62242197,100471179,[23만장판매ㅣ후기인증핏] [MADE] 매직스 오리지널 밴딩 팬츠 (5color),5,작년인가 블랙 사서 잘입어서 그레이로 하나 더 구입함. 키큰녀에게 길이도 잘맞고 세미 부츠컷이라 날씬해보임 다만 배는 조여 주는 스타일이 아니라 뱃살부자는 배를 가려주는 롱티 입으면 괜찮음. 뱃살 이슈만 빼면 원래 몸매보다 날씬해 보이고 편함,2026-04-10 00:01:23,0,메란지,,잘 맞아요,만족해요,비슷해요,173cm,57kg,하의 27
62096776,168498324,[23만장판매ㅣ후기인증핏] [MADE] 매직스 오리지널 밴딩 팬츠 (5color),5,정말 편하고 핏이 좋아요 M사이즈 long은 작았을까 싶긴한데 L long은 길이가 많이 길더라고요 허리 끝까지 올려입어요 L 사이즈 M했어도 좋았을거 같아요 아무튼 강추!! 편해서 거의 매일 입는중이에요 ,2026-04-05 07:29:16,0,블랙,,커요,만족해요,비슷해요,167cm,62kg,하의 30
62069094,168498324,[23만장판매ㅣ후기인증핏] [MADE] 매직스 오리지널 밴딩 팬츠 (5color),4,편하고 손 많이 가요~기장이 아주 약간 길어서 자꾸 밟히긴 하는데 요즘 하도 긴 바지들이 많아서 그런지 이정도면 감수할 만 합니다! 소재가 얇고 맨들해서 다리라인이 그대로 나오고 보정효과 이런건 거의 없는 거 같아요!,2026-04-04 07:56:15,0,메란지,,잘 맞아요,보통이에요,비슷해요,160cm,63kg,하의 30
62027594,100471179,[23만장판매ㅣ후기인증핏] [MADE] 매직스 오리지널 밴딩 팬츠 (5color),5,"제가 휘뚜루마뚜루 매일입는 교복템입니다.
입었을때 날씬해보이고 너무 편해서 맨날 손이가요
제가 봤을때는 너무 츄리닝 느낌도 안나서 슬랙스 대신 매치할때도 있어요! 재구매템입니다..👏🏻",2026-04-02 23:08:29,0,블랙,,잘 맞아요,만족해요,비슷해요,163cm,65kg,하의 30
61980415,168498324,[23만장판매ㅣ후기인증핏] [MADE] 매직스 오리지널 밴딩 팬츠 (5color),4,"보풀일어나는 재질인거 감안하고 이가격이면 완전 혜자임미다.. 이번주 내내 피부마냥 입고다녔어요!
완전 편하고 핏도 말라보이고 다리길어보여요!",2026-04-01 09:27:28,0,블랙,,잘 맞아요,보통이에요,비슷해요,159cm,50kg,하의 24
61945052,168498324,[23만장판매ㅣ후기인증핏] [MADE] 매직스 오리지널 밴딩 팬츠 (5color),5,"너무너무너무 편하고 좋아요
키 152인데 살짝 길어서 땅에 조금 밟힐듯 말듯 하지만 그냥 입고 다닐려구용
살이 쪄서 허벅지-y존이 살짝 붙어서 레이어드용이나 긴 상의로 가려서 입으려구요!
일단 부츠컷으로 예쁘게 떨어져서 스커트랑 레이어드로 입는게 ㄴㅁㄴㅁ예뻐요",2026-03-31 10:25:16,0,블랙,,잘 맞아요,만족해요,비슷해요,153cm,64kg,하의 27
61738872,168498324,[23만장판매ㅣ후기인증핏] [MADE] 매직스 오리지널 밴딩 팬츠 (5color),5,늘 계절 바뀔때마다 구매하는 교복템 입니다. 품질도 좋고 디자인 핏도 좋아요. 편한건 말할 필요없고요. 재질이 좋아서 무릎 안나와요. 이제품은 좀 핏되는 편이라 한사이즈 업했더니 핏 예쁩니다.,2026-03-25 05:05:11,0,블랙,,잘 맞아요,만족해요,비슷해요,160cm,60kg,하의 30
61686097,168498324,[23만장판매ㅣ후기인증핏] [MADE] 매직스 오리지널 밴딩 팬츠 (5color),4,"간절기때 입을바지 원했는데 좋아요
길이도 딱 발등덮는정도입니다
좀 비싼감이잇긴해요
사고나니 세일하네요 
세일할때쟁이시길 !!",2026-03-23 10:46:18,0,블랙,,잘 맞아요,보통이에요,비슷해요,163cm,52kg,하의 27
61633170,168498324,[23만장판매ㅣ후기인증핏] [MADE] 매직스 오리지널 밴딩 팬츠 (5color),3,핏 자체는 나쁘지않은데 일부러 길게 샀는데도 부츠컷처럼 보이지않음 가격에 비해 걍 스판100퍼바지임 재질이 넘 싼티남 글구 개밤티인게 바지에 주머니가 없음;; 주머니없는 여자바지? 개붐따,2026-03-21 08:04:00,5,메란지,,작아요,별로예요,비슷해요,158cm,47kg,하의 24
