review_id,product_id,product_name,rating,contents,created_at,like_count,구매컬러,구매사이즈,사이즈,퀄리티,색감,키,몸무게,평소사이즈
62512487,168857738,[6컬러🌈][하체커버/트렌디] 디에노 벌룬핏 디링 핀턱 밴딩 와이드 롱팬츠(44~110) (빅사이즈팬츠-밴딩팬츠-와이드팬츠-빅사이즈바지-체형커버-데일리-캐주얼-롱팬츠-간절기팬츠),5,정말 최고예요,2026-04-20 4:54,0,블랙(black),F,,,,,,
62508487,168857738,[6컬러🌈][하체커버/트렌디] 디에노 벌룬핏 디링 핀턱 밴딩 와이드 롱팬츠(44~110) (빅사이즈팬츠-밴딩팬츠-와이드팬츠-빅사이즈바지-체형커버-데일리-캐주얼-롱팬츠-간절기팬츠),5,정말 최고예요,2026-04-20 1:05,0,메란지(melange),F,,,,176cm,85kg,하의 34
62505775,168857738,[6컬러🌈][하체커버/트렌디] 디에노 벌룬핏 디링 핀턱 밴딩 와이드 롱팬츠(44~110) (빅사이즈팬츠-밴딩팬츠-와이드팬츠-빅사이즈바지-체형커버-데일리-캐주얼-롱팬츠-간절기팬츠),5,정말 최고예요,2026-04-19 18:38,0,메란지(melange),F,,,,160cm,80kg,하의 30
62486105,168857738,[6컬러🌈][하체커버/트렌디] 디에노 벌룬핏 디링 핀턱 밴딩 와이드 롱팬츠(44~110) (빅사이즈팬츠-밴딩팬츠-와이드팬츠-빅사이즈바지-체형커버-데일리-캐주얼-롱팬츠-간절기팬츠),5,전에 블랙 주문 했는데 넘 편하고 예뻐서 또 주문했습니다 돌려가며 교복처럼 입기 딱 좋아요!! 핏도 색도 무지무지 예쁩니다~ ,2026-04-19 3:25,0,메란지(melange),F,잘 맞아요,만족해요,비슷해요,160cm,52kg,하의 27
62341646,168857738,[6컬러🌈][하체커버/트렌디] 디에노 벌룬핏 디링 핀턱 밴딩 와이드 롱팬츠(44~110) (빅사이즈팬츠-밴딩팬츠-와이드팬츠-빅사이즈바지-체형커버-데일리-캐주얼-롱팬츠-간절기팬츠),5,"옷장에 칙칙한 옷들만 있는거 같아서 사게됐어유
흰색 바지 한번쯤은 입어보고 싶었는데 제 소망을 이뤘네용",2026-04-13 21:49,0,화이트(white),F,잘 맞아요,만족해요,비슷해요,160cm,47kg,
62307820,168857738,[6컬러🌈][하체커버/트렌디] 디에노 벌룬핏 디링 핀턱 밴딩 와이드 롱팬츠(44~110) (빅사이즈팬츠-밴딩팬츠-와이드팬츠-빅사이즈바지-체형커버-데일리-캐주얼-롱팬츠-간절기팬츠),5,"오버핏 좋아하면 좋을듯
허리랑 골반부분 디테일 이뻐서 바지 엄청 넓게 퍼짐 
핏 딱 좋은 내가 찾던 트레이닝 팬츠
167인데도 끄이고 밟히고 청소하고 난리남
옷 클립으로 찝어야함",2026-04-12 10:11,0,메란지(melange),F,커요,만족해요,비슷해요,167cm,53kg,하의 27
62148590,168857738,[6컬러🌈][하체커버/트렌디] 디에노 벌룬핏 디링 핀턱 밴딩 와이드 롱팬츠(44~110) (빅사이즈팬츠-밴딩팬츠-와이드팬츠-빅사이즈바지-체형커버-데일리-캐주얼-롱팬츠-간절기팬츠),5,정말 최고예요,2026-04-07 5:24,0,화이트(white),F,,,,170cm,80kg,하의 32
62095753,168857738,[6컬러🌈][하체커버/트렌디] 디에노 벌룬핏 디링 핀턱 밴딩 와이드 롱팬츠(44~110) (빅사이즈팬츠-밴딩팬츠-와이드팬츠-빅사이즈바지-체형커버-데일리-캐주얼-롱팬츠-간절기팬츠),5,정말 최고예요,2026-04-05 6:56,0,브라운(brown),F,,,,165cm,70kg,하의 30
62066243,168857738,[6컬러🌈][하체커버/트렌디] 디에노 벌룬핏 디링 핀턱 밴딩 와이드 롱팬츠(44~110) (빅사이즈팬츠-밴딩팬츠-와이드팬츠-빅사이즈바지-체형커버-데일리-캐주얼-롱팬츠-간절기팬츠),5,길이는 건조기 돌리면 적당할것 같구ㅎㅎ 핏 넘 이뻐용 블랙도 구매하려구용!,2026-04-04 6:33,0,화이트(white),F,잘 맞아요,보통이에요,비슷해요,164cm,46kg,하의 24
62031018,168857738,[6컬러🌈][하체커버/트렌디] 디에노 벌룬핏 디링 핀턱 밴딩 와이드 롱팬츠(44~110) (빅사이즈팬츠-밴딩팬츠-와이드팬츠-빅사이즈바지-체형커버-데일리-캐주얼-롱팬츠-간절기팬츠),5,정말 최고예요,2026-04-03 2:12,0,화이트(white),F,,,,,,
