review_id,product_id,product_name,rating,contents,created_at,like_count,구매컬러,구매사이즈,사이즈,퀄리티,색감,키,몸무게,평소사이즈
62483098,168956028,[8컬러🌈][원마일웨어/꾸안꾸/쫀쫀탱탱] 헬리아 스트링 밴딩 와이드팬츠(44~110)(빅사이즈팬츠-리벳팬츠-봄팬츠-트레이닝팬츠-간절기팬츠-롱팬츠-캐주얼룩-와이드팬츠-밴딩팬츠-추리닝),5,"집앞휘뚜루마뚜루 복장으로 구매햇어용
살짝 도톰하지만 요새같은날씨 아침저녁으로 입기
좋을것같아용 !
야키우느라 착용샷은없지만
키 168에 허리사이즈 34 입니다 
",2026-04-19 00:21:19,0,블랙(black),L,커요,만족해요,비슷해요,,,
62371338,168956028,[8컬러🌈][원마일웨어/꾸안꾸/쫀쫀탱탱] 헬리아 스트링 밴딩 와이드팬츠(44~110)(빅사이즈팬츠-리벳팬츠-봄팬츠-트레이닝팬츠-간절기팬츠-롱팬츠-캐주얼룩-와이드팬츠-밴딩팬츠-추리닝),5,너무 편하고 마음에 들어서 색깔별로 구입했습니다.,2026-04-14 23:01:50,0,머스타드(mustard),F,잘 맞아요,만족해요,비슷해요,160cm,60kg,하의 30
62371326,168956028,[8컬러🌈][원마일웨어/꾸안꾸/쫀쫀탱탱] 헬리아 스트링 밴딩 와이드팬츠(44~110)(빅사이즈팬츠-리벳팬츠-봄팬츠-트레이닝팬츠-간절기팬츠-롱팬츠-캐주얼룩-와이드팬츠-밴딩팬츠-추리닝),5,너무 편하고 마음에 들어서 색깔별로 구입했습니다.,2026-04-14 23:01:12,0,그레이(grey),F,잘 맞아요,만족해요,비슷해요,160cm,60kg,하의 30
62345671,168956028,[8컬러🌈][원마일웨어/꾸안꾸/쫀쫀탱탱] 헬리아 스트링 밴딩 와이드팬츠(44~110)(빅사이즈팬츠-리벳팬츠-봄팬츠-트레이닝팬츠-간절기팬츠-롱팬츠-캐주얼룩-와이드팬츠-밴딩팬츠-추리닝),5,정말 최고예요,2026-04-14 02:26:08,0,핑크(pink),F,,,,174cm,66kg,하의 28
62295628,168956028,[8컬러🌈][원마일웨어/꾸안꾸/쫀쫀탱탱] 헬리아 스트링 밴딩 와이드팬츠(44~110)(빅사이즈팬츠-리벳팬츠-봄팬츠-트레이닝팬츠-간절기팬츠-롱팬츠-캐주얼룩-와이드팬츠-밴딩팬츠-추리닝),5,"가격이 좋아서 3개 구입했어요
어차피 잘 입을 것같아서요
재질 좋고 편해요
좀 크고,길지만..교환하기도 귀찮고..
1사이즈가 엉덩이가 작을까바 걍 입을려구요
좀 사이즈가 넉넉하게 나온거 같아요
저는162지만 허리가 긴 타입인데 
다리길이 짧아가 좀 많이 남습니다 ㅎㅎ
",2026-04-12 01:41:56,0,아이보리(ivory),L,커요,만족해요,비슷해요,162cm,65kg,하의 28
62295626,168956028,[8컬러🌈][원마일웨어/꾸안꾸/쫀쫀탱탱] 헬리아 스트링 밴딩 와이드팬츠(44~110)(빅사이즈팬츠-리벳팬츠-봄팬츠-트레이닝팬츠-간절기팬츠-롱팬츠-캐주얼룩-와이드팬츠-밴딩팬츠-추리닝),5,"재질이 좋아요 
고무줄 바지라 편하고요
딱붙을까바 2사이즈 했는데 엄청 널널하네요
넉넉하게 나온것같아요
길이는 162인 저는 깁니다..ㅠㅅㅠ
수선해야 될것같아요
맘에 들어요

",2026-04-12 01:41:55,0,블랙(black),L,커요,만족해요,비슷해요,162cm,65kg,하의 28
62295624,168956028,[8컬러🌈][원마일웨어/꾸안꾸/쫀쫀탱탱] 헬리아 스트링 밴딩 와이드팬츠(44~110)(빅사이즈팬츠-리벳팬츠-봄팬츠-트레이닝팬츠-간절기팬츠-롱팬츠-캐주얼룩-와이드팬츠-밴딩팬츠-추리닝),5,"재질도 좋고 가벼워요
작을까봐 그냥 큰거 시켰는데 사이즈가 넉넉하게 나왔나봐요 크기도 크고 길이도 길긴 하네요..ㅠㅠ
하지만 잘입을것 같아요 
길이수선은 해야겠지만요ㅠㅠ
마감도 깔끔하고 맘에 들어요",2026-04-12 01:41:53,0,그레이(grey),L,커요,만족해요,비슷해요,162cm,65kg,하의 28
62294364,168956028,[8컬러🌈][원마일웨어/꾸안꾸/쫀쫀탱탱] 헬리아 스트링 밴딩 와이드팬츠(44~110)(빅사이즈팬츠-리벳팬츠-봄팬츠-트레이닝팬츠-간절기팬츠-롱팬츠-캐주얼룩-와이드팬츠-밴딩팬츠-추리닝),5,아침에 유치원 등원하러 나가는 교복입니다. 평소 정장을 입어 간단한 캐주얼 의상 없는데 어디에나 잘 어울립니다.,2026-04-12 00:31:59,0,아이보리(ivory),L,잘 맞아요,만족해요,비슷해요,160cm,50kg,하의 33
62245228,168956028,[8컬러🌈][원마일웨어/꾸안꾸/쫀쫀탱탱] 헬리아 스트링 밴딩 와이드팬츠(44~110)(빅사이즈팬츠-리벳팬츠-봄팬츠-트레이닝팬츠-간절기팬츠-롱팬츠-캐주얼룩-와이드팬츠-밴딩팬츠-추리닝),5,정말 최고예요,2026-04-10 02:38:19,0,블랙(black),F,,,,166cm,60kg,하의 28
62206543,168956028,[8컬러🌈][원마일웨어/꾸안꾸/쫀쫀탱탱] 헬리아 스트링 밴딩 와이드팬츠(44~110)(빅사이즈팬츠-리벳팬츠-봄팬츠-트레이닝팬츠-간절기팬츠-롱팬츠-캐주얼룩-와이드팬츠-밴딩팬츠-추리닝),4,흰색 약간 비침있어요 여름에 휘뚤마뚤 가능해요,2026-04-08 16:29:21,0,아이보리(ivory),L,잘 맞아요,보통이에요,비슷해요,167cm,,
